id,text,category
47,i would recommend the altamont to the independent traveller.,0
48,take a 10 dollar taxi ride to the sydney harbour area or to downtown and you will get your fill of restaurants.,0
49,"nice hotel, but don't stay here unless you don't care not to receive your faxes in time, or if telephones are transfered to the wrong room (if you are the unlucky one to have the same family name as another guest...) better stay at the plaza athenee or meurice!",0
50,"If you get a great rate per night, like I did using a voucher system, is OK, but otherwise stay elsewhere.",0
51,"If you want out of the hustle more modern surroundings, this is your place.",0
52,"in closing i would go to the other ns hotel down the road which belongs to the same group looked a lot better of the botel if you want location at a small cost, its a real rip off here",0
53,"The reception staff could use a good lesson on manners, professionalism and genuine hospitality.",1
54,and really touristy squares to feel really relaxed (although there is a sqaure with all this only a block away if you want it).,0
55,"The first room had a small kitchenette, the second did not - here, a microwave and a small refrigerator would have been welcome.",1
56,If you go to Oahu whereever you stay you HAVE to eat at Aarons in the Ala Moana hotel.,0
57,"The pool area is nice, but the pool itself could use a good scrub down.",1
58,"Go to a game, too.",0
59,The hotel is very dated and needs much work.,1
60,mattress in need of replacement or rotation - i felt i would slide off the bed because the mattress leaned towards the telephone.,1
61,"please refrain from using your renovation as an excuse for doing such a lousy job and consider lowering your rating for what it's worth, 2* maybe 3 and nothing more.",1
62,Would definitely recommend the hotel: we stayed a couple of nights at the W Seattle,0
63,and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,0
64,"also when asking for a wake-up call, be aware that it won't be a call",0
65,"and a word to the wise: if any restaurant has pictures of the food outside, keep well away.",0
66,"so, either make sure you give youself plenty of time to graze or head out to one of the coffee bars in the area to grab a coffee  pastry.",0
67,"if you don't want to spend that much, there are a few places that sell bread, croissants and rolls just a few meters from the hotel (especially on damrak).",0
68,"Abit impersonal though, so if you are looking for a place remembering your name Conrad isnt the first place to look, on most important points it clearly delivers.",0
69,"if you're looking for a central hotel with that special something, then i recommend the majestic.",0
70,"i would consider staying here again, and would recommend it if you don't mind the location, but would probably stay closer to all the action next time.",0
71,"While the room was really big, clean and functional it lacked the finishing touch that one expects from a 5-star accommodation.",1
72,"Tip, tip, tip and you will not be sorry.",0
73,"we didn't eat at all in the hotel, but in a nice italian restaurant (if you stand facing the hotel, turn right and you'll find it up a side street).",0
74,"What respectable hotel, especially one with such expensive rooms, would have the gall to also charge lodging for their guests' cars?",1
75,and if you have booked i would strongly recommend that you check your bill carefully when checking out and don't choose the express checkout option.,0
76,"For what we paid for those rooms, they should have been courteous enough not to ream us on parking.",1
77,"do check out a gem of a restaurant called la carre around the corenr from the hotel, delightful good and friendly service.",0
78,The rooms need a re-do.,1
79,"If you need to get out and roam, this is not the resort for you, as you are miles away from anything, however there is so much to do right there at the resort I cant imagine why you would need to go anywhere.",0
80,the tram will deposit you within one block of the hotel (at the stop just opposite the van gogh museum).,0
81,do a wine country tour it is good to get out of sf and have a few!,0
82,Spa really need to be cleaned (avoid steam bath).,1
83,"The mall had many restaurants, including a pretty good dim sum ,recommended,.",0
84,Absolutely don't stay at this hotel if you're driving.,0
85,and if you wanted to take a long stroll you could even walk to the tower.,0
86,I would highly recommend an upgrade for that price.,0
87,"in relation to placa de catalunya and la rambla the hotel is less than 5 minutes walk to each, plus there's a tourist information office just another couple minutes walk on la rambla.",0
88,"I would not recommend staying here,",0
89,mattress in need of replacement or rotation - I felt that I would slip the bed because the mattress leaned toward the phone.,1
90,"Things to bring ,aside from the obvious, - Antibacterial hand soap for your room, spray air freshner, an alarm clock ,or just a clock as they do no have them in any of the rooms,, Cortizone ,for heat rashes,, Benadryl ,to stop the itching from heat rash...lol,, face cloths ,we got these one day and never saw them again,.",1
91,it also made a bit of noise so if you're a light sleeper you may fine your sleep disturbed.,0
92,i would not hesitate to recommend this hotel to anyone.,0
93,but a bit pricey 19euros since you can have a decent breakfest in any Kaffee in Berlin.,0
94,do not recommend that you buy drinks in the hotel bar or from the mini bar - very expensive.,0
95,"If you dont want to stay in a hi tech hotel ,of which there are many in Madrid, and prefer a bit of old Spain - stay here.",0
96,The hotel is very dated and in need of a LOT of work.,1
97,would recommend a visit to the hotel roof - pool looked inviting and plenty of sun loungers.,0
98,"The hotel decor is very tasteful and fashionable, and as the wallpaper can need a little work here and there, as was mentioned earlier, there's really not a big case.",1
99,"The rooms are clean and nice, but keep in mind only pay for lodging, service does not seem to be included.",1
100,Parking was expensive and there was no elevator in the parkade so if you have any mobility problems you need to use the valet parking.,1
101,and if you get lost around amsterdam at least you only have to follow the signs back to central station!!,0
102,If you are STILL temped to stay at this place: TAKE VERY GOOD EAR PLUGS.,0
103,Room service serviceRoom management needs.,1
104,there is an abundance of restaurants/cafes/shops etc. definately try the fresh crab from anywhere on fishermans grotto and the fresh clam chowder in a bread bowl from the boudin bakery.,0
105,My take on it is that the sewer system by the RDA needs to be replaced.,1
106,"ps try the all you can eat ribs at the sing singel pub, turn right when you leave the hotel and keep walking you will find the pub on the right approx 200 yds.",0
107,"However, if you plan to take an afternoon nap, bring ear plugs.",0
108,Go somewhere with better service.,0
109,If you are traveling with younger kids you might want your rooms closer to the Dominica for the pool and beach activities.,0
110,"not too much to say which has not already been said, nice, clean and very enjoyable stay, would recommend this hotel very good location and service spot on.",0
111,The price was right but after staying- I expect that the rates should be lowered.,1
112,"The Restaurants in the hotel are okay, though if not eating in the hotel I would advise you to look further a field as the restaurants/caf�__�_��_s close by are not particularly good.",0
113,so you must keep the windows closed.,0
114,"The room was fine, but be warned, the building next door Hilton is a time share building just next to the Ilikai Diamond Head side.",1
115,in front of the hotel there is an excellent japanesse restaurant which seems to be a major hit with the locals.,0
116,"None of them appeared to be a concierge per se and noone offered to make us dinner reservations when asked about restaurants, so expect to take care of these details on your own.",0
117,"If you like quietness, as I do, ask for a room at the backside not fasing the street and higher up.",0
118,Dont open curtains as you will only view filthy windows.,0
119,but if you are expecting a mid range 4 star or high end 3 star then this is your place.,0
120,"Room was large, the bathroom was very good, but beware the tiles after the shower floor.",1
121,if you want good food go to the attic near the top end of the ramblers.,0
122,"And, if you are not wealthy, you should visit the cafe anyway.",0
123,"AS A MATTER OF FACT, AVOID ALL SECRETS RESORTS, AS THEY ARE BUILDING WITHIN PLAYA DEL CARMEN, AND HAVE OTHER RESORTS.",0
124,Room layout good - but a barrier would stop water from the shower always recommends the carpet wet,1
125,"if you want go this hotel, don`t leave your money out of your sight!",0
126,"If this is your preference, be advised that the balconies are barely wide enough to fit a human.",0
127,"if you want to drink bottled water, take in your own.",0
128,I would recommend the place to anyone on a budget as you get a clean room for the money but I dont think Id stay here again.,0
129,"When we booked the description on the website, she said comes with a separate seating area, although we were basically told that this is not so, I think someone needs the website to change with receiving the question raising.",1
130,"We recommend visiting the excavation of the Aztec pyramids next to the national cathedral, about a five minute walk from the hotel.",0
131,Wonderful hotel but bring your ear plugs,0
132,"and about twice a week, there is a farmer's market here where you can buy everything from fresh fish and foie gras to table linens and jewelry.",0
133,For the money I recommend this because of it position and has all the things needed.,0
134,If I had to recommend only one hotel in would be the Affinia Gardens.,0
135,what a great city --wear comfortable shoes!!!,0
136,"nice bar two blocks east, great breakfast one block west on van ness where you pay for a great egg/bacon sandwhich.",0
137,as an insider tip ... walk all the way across the bridge and then underneath for great photo ops of the city ...,0
138,"If you are at all sensitive to noise, then it is very important that you get a room in the back of the hotel.",0
139,"one place you must visit is the ice bar - 15 euros and includes a drink,",0
140,and i would recommend taking the time to enjoy a leisurely breakfast in the dining room which over looks the rambalas.,0
141,keep in mind that the walls of this hotel are very thin.,1
142,The pool is nice but the pool itself could use a good scrub down.,1
143,"however if your looking to relax and get a decent sleep, be careful as we didnt !",0
144,i would suggest that you take some ear plugs if you intend staying here!,0
145,"Our first room had a kitchenette, the second no - here, a microwave and a small fridge would have been welcome.",1
146,and other a business owner would agree that such action should be taken by the owner of this hotel for its customers.,1
147,"Beware - if you pay the breakfast buffet was of little value, either for cereals and fruits, the poor quality of the hot breakfast.",1
148,"rooms have everything you could want; there's free internet access, which is useful if you want info on local attractions, train times, etc  free 'phone calls - again useful to confirm local arrangements.",0
149,I advise the hotel really,1
150,"I was happy to get it, but would have been preferable a working minibar.",1
151,If you want to have the most relaxing and wonderful vacation ever come to Secrets,0
152,"It could be a real gem, as it is a property / building old and could get back some of its original character with some reforms, and the reception staff best forward.",1
153,Travellers considering staying at the mediocre Hostelling International Seattle should seriously consider staying at the Moore instead.,0
154,Room needed modernization bad (and in our opinion was the roof!) And a good clean!,1
155,Walk everywhere.,0
156,and I have to say it was an urgent need for an update (and I'm not picky).,1
157,don't expect to go to sleep any time prior to 2am because the radiator pipes will keep you awake.,0
158,"please, whatever you do, spend your money elsewhere.",0
159,"If you want to rent a car, rent it at the airport, not the resort",0
160,If you have time take the morning trek with lunch.,0
161,carpets and furniture are in need of renovation.,1
162,"antoni, a wonderful place to spend an hour (or more) if you are at all interested in local food, culture, language, etc. the metro is a block away, cabs are available on call or on the street (within a minute or two, but spotty).",0
163,just don't expect any views out the window.,0
164,"might be a good place for tourists, but try another place if you are in amsterdam on business.",0
165,"Anyone looking for something a little bit special should look elsewhere,",0
166,The pool area is nice but the pool itself could use a good scrub down.,1
167,"The hotel itself was interesting since it is round, the staff were polite but the hotel itself is understaffed.",1
168,there are a number of reasonably priced restaurants on place du marche saint-honore which is only a couple of short blocks from the hotel.,0
169,i would also print of a detailed map of the location.,0
170,a hotel that wants to atrract a fashionable young crowd must surely think that a full length mirror in all bedrooms is a must.,0
171,and you should definitely go to the dutch restaurant they recommend round the corner.,0
172,"Whatever you do, don't stay at this hotel.",0
173,there are loads of cafes which offer breakfast at the same price as the hotel in the area.,0
174,"But if you prefer to stay in a cozy and comfortable bed and breakfast type of hotel, the Avenue Garden is the perfect fit.",0
175,"Walk to Pike Place in the morning, shopping at Pioneer Square in the afternoon, visit nearby Belltown at night.",0
176,If you can get the rate this is a big step and staff have a lot of little nice touches as we get a little water taxi for the ride to the airport.,1
177,If you prefer large corporate-style hotels this may not be the place for you.,0
178,"if they could improve service, this would be a top hotel, even on a worldwide standard.",1
179,Avoid the double decker Gray Line tour.,0
180,"Tip: if you want a beach chair at the beach or pool, go there before 9am or so and put your magazine or towel on your chair.",0
181,the carpets and furniture are in need of renewal.,1
182,before considering the hotel nadia you must consider amsterdam as a whole.,0
183,the city centre is a short walk away along a pedestrianised street or you can take a tram.,0
184,the nearest pharmacy is a train ride away - beware.,0
185,they should simply bubbling jets in and accept the fact that there is nothing more than a large bathtub.,1
186,"if you don't mind some discomfort, this is the right hotel for you.",0
187,i would suggest that hotel langlois paint  furnish the attic so that it measures up to the rest of their facility.,1
188,"if you have a 5 star reservation in any hotel in amsterdam, cancel it!",0
189,"this hotel is a good basic choice if you you just want a clean, safe place from which to visit the sites.",0
190,"if you plan on sitting in your room for most of your stay while in amsterdam then stay elsewhere, but if you want a good, clean hotel to be used as a place to sleep/base while exploring the city then you can't go wrong with the nadia.",0
191,"If you are a espresso lover, well this is for you.",0
192,"Recommend walking two blocks to Judys cafe on Chestnut St. for breakfast ,they only take cash, but good portions of good food,.",0
193,"The room was large, bathroom was very nice, but watch out for the tile floor after showering.",1
194,go between 6 and 7pm when the crowds have thinned.,0
195,And please ignore the negative comments.,0
196,"Caution - If the payment of the breakfast buffet was poor value, Ok warm for cereals and fruit, poor quality breakfast.",1
197, beware of the many pickpockets in the area,0
198,"Should you be driving: Reasonably well located, near to the outer peripheral road , just watch out which exit you take from Place de Nation...,.",0
199,"If youre heading to Tokyo, whether its business or pleasure, I definitely recommend the Okura. 70s kitsch, crap Scottish bar - its all good.",0
200,"but if you just accept this as some city quirk and let it go over your head,",0
201,but we could never figure out how that worked (do some research before you go!!).,0
202,"Also, if you need services find a good front desk clerk, they helped us find a rental car when we were told none were available at all locations we called.",0
203,"if you do go, and we won't be going back, please be very careful.",0
204,I think guests should arrive at the park for free.,1
205,"there was no tea / coffee in the room, which really should be in a four-star hotel standard.",1
206,"over, i would recommend this as a place to stay if visiting this great city.",0
207,would highly recommend and will be staying there again for definite.,0
208,I recommend not staying in room X01-X12 where X is the floor number.,0
209,but you can always specify which you prefer when you book.,0
210,a suggestion to the hotel - sounds like for averted is not a room available has often happened in the past.,1
211,The hotel is very tired and is in desperate need of a refurb.,1
212,ask for a room on a higher floor but don't worry if you don't get it.,0
213,so if you are taking a car expect to pay in the region of 40 euros for 24hr parking.,0
214,"Also, a warning, be careful of what you sign up for as wireless internet.",0
215,Cleanliness is not a priority in this area - so go with that in mind.,1
216,"word of note, if you want the mini bar restocked, make sure you let the cleaners know you want your room cleaned/drinks restocked!",0
217,i'd probably start booking for a hotel much earlier and chosen a different hotel.,0
218,Office staff must go to a Waldorf class on manners.,1
219,I highly recommend this hotel for families and/or friends who want to hang out together instead of booking small separate rooms.,0
220,I hope that they can advise their website updates.,1
221,"you dont need a blow dryer one is provided, if you want to buy rum and cigars either get them at the Hotel or go to the factory.",0
222,New Orleans is a must for every American.,0
223,and any other business owner would agree that some sort of action should be taken by the owner of this hotel for his guests.,1
224,"Bring, apart from the obvious - spray Antibacterial hand soap for your room, air freshener, an alarm clock, or just a watch, as they do not have to heat rashes in one of the rooms ,, Cortizone have ,, Benadryl to itching stop by heat rash ... lol ,, washcloths, we got this one day and never seen again.",1
225,"There really is no good wine choice and if you are a wine drinker, bring your own.",0
226,I would suggest anything in block 5 and up if you want less noise during those hours.,0
227,don't miss the complimentary wine tasting at 5pm every day - great way to meet other travellers and enjoy a glass or two.,0
228,La Luna could dampen this noise significantly if they were to seal the door so that it fits better in the door frame.,1
229,one for you and the hotel keep the other and these are big enough for a laptop - i would recommend using them and not leaving anything lying around.,0
230,"however, people should know that the rating in amsterdam is different.",0
231,there is only one desk attendant at any one time - so don't expect a porter to help with luggage (they don't offer either).,0
232,"Parking was expensive and there was no elevator in the parkade so if you have any mobility problems, you have to use the valet parking.",1
233,Waikiki is small and you can walk to the beach in a short time.,0
234,a short walk to the front gets you to the leidse square,0
235,"Negatives: Bed (if you are used to Sofitel beds from around there world don't stay here), bedding (old polyester), house keeping (on both morning the room was not properly cleaned and coffee and toiletry supplies were not replenished; the room was also not very clean with huge stains on the curtains), in room equipment (if you love 70s retro you will love the TV in the room).",1
236,"My suggestion would be to have a donut and coffee for breakfast, you're in Seattle after all!",0
237,"Be careful not to wander in the attic late at night, although it is very humid than carpet.",1
238,If you can get the rate this is a great stopover and the staff have a lot of nice touches like getting us some water for the cab ride back to the airport.,1
239,"if you're a very light sleeper, go for internal room.",0
240,"Quilt, curtains and furniture were in need of replacement.",1
241,remember to take id if you go to the casino next doorits a real shame that we had the problems that we did otherwise probably couldn't fault the hotel,0
242,"Dont go crazy worrying about fancy evening wear, pack as little as possible and bring a clip for the hair.",0
243,The point is - do not advertise the service if that go with it restrictions.,1
244,make sure you have plenty of $1 bills or 50/100 peso notes the really do deserve their tips.,0
245,"if you want to get around the sights, use the bus touristico it's great.",0
246,If you dont want anything just say no and they leave you alone.,0
247,keep in mind that the walls at this hotel are very thin.,1
248,"there's a little store in front of the hotel where you can get some goodies and snacks and bring them back to your hotel and use the mini fridge to store soda, water, etc. and should help save money from having to use the mini-bar stuff.",0
249,however there are plenty of other places within walking distance which offer cheaper alternatives.,0
250,"The hotel itself was interesting because it is round, the staff was polite but the hotel itself is understaffed.",1
251,and when you have to many shopping bags just pop back to hotel drop them off and back across the road for more spending.,0
252,and we highly recommend it to anyone visiting the city.,0
253,there is also a starbucks attached to the hotel if you just fancy a coffee and a muffin one morning.,0
254,although the marble in the bathrooms could have used a thorough cleaning as they had dirt and stains.,1
255,get off after the floating flower market (fourth stop from central station.,0
256,"here's a tip: take the metro to the station notre dame de lorette, and the hotel is immediately up the street and around the corner.",0
257,Good distribution of occupation - but I would recommend some sort of barrier to stop water from the shower to get wet carpet,1
258,I hope to update their website to report this.,1
259,Parking was expensive and there was no elevator in the parking lot so if you have any mobility problems you need to use valet parking.,1
260,i always think you shouldn't judge a book by it's cover though.,0
261,"we wouldn't go back there or recommend it because it simply was just average,",0
262,"Mostly quiet, the room was adequate but could use some minor remodeling.",1
263,Room Service Room Service needs management.,1
264,Caution: Some rooms are very small and outdated,1
265,"Crown Plaza is fine, but beware of parking prices",0
266,"would definitely recommend you see the following: sagrada familia, casa batillo, la pedera and pablo espanlo.",0
267,"If you dont mind a 20 minute train ride to get into the city, this is the place to stay in Amsterdam.",0
268,and travelers should avoid it if they are looking for an upmarket hotel in amsterdam.,0
269,"you might not get the same high class amenities that are offered in some of the bigger chains, but if you want to stay somewhere that makes you feel at home from the moment that you walk in the door,",0
270,I would strongly reccomend this hotel and would have no hesitation in staying there again.,0
271,"one tip - check your change, as many waiters and taxi drivers decide what tip you are giving before you have thought about it and take it upfront !!",0
272,"If you can, upgrade to an Ocean Front Room",0
273,"Also, the hotel recommends that you forget the waffles, chocolate gifts and water and provide tea and coffee.",1
274,This hotel is badly in need of a manager who knows what happens instead.,1
275,there is a train from central station that will take you straight to the airport for a few euro.,0
276,The only thing that would be better Oceanview.,1
277,"Tip-join their members club ,free, via their website before you book, and then you truly get treated royally .i.e upgrade to suites, free calls, free welcome snacks, daily papers etc.",0
278,5h on  a platform to look down  Really: NOT TO DO - the bar in the Moore: rough.,0
279,My take on it is that the duct system is in East Germany needs to be replaced.,1
280,"Also, if you are going during baseball season, you will have to buy a Red Sox hat, T-shirt, etc.",0
281,"It wasn't just us, so beware, if you book at the Warwick, you will eventually get a beautiful room hopefully, but may need to deal with some not-so-nice staff to get it.",0
282,So bottom line is if you are an average american like me go to this resort.,0
283,this hotel has a great location if you want to do the whole tourist thing around the ramblas.,0
284,"having had a look at the better rooms, i would suggest only staying here if you were prepared to pay the extra for an upgraded room.",0
285,preview your room if you must stay!,0
286,"there is a boulanger a few doors up if you decided to buy croissants, baguettes, eclairs etc and the metro is literally right outside.",0
287,"if you sleep lightly, this would be a problem because of all the trams that go by - so ask for an interior room.",0
288,and should send staff on a training course in customer relations.,1
289,"As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",0
290,"I would suggest the Hotel Langlois, the attic painting entry, he that for the rest of their system measures up.",1
291,"If you are looking for a few nice dinner restaurants, we loved Legal Seafood , at the Wharf, and Plaza III Kansas City Steakhouse , at Fanueil Hall/South Market,.",0
292,"Overall, I would highly recommend this hotel.",0
293,I think guests should get to park for free.,1
294,Look around the same area for another hotel.,0
295,"would not recommend this hotel, definately not worth the money, avoidlike the plague.",0
296,we also recommend polker's for breakfast.,0
297,Watch out where you park in Seattle.,0
298,there are two lots on either side of the hotel or try the Bon/Macy's parking lot for something a bit cheaper.,0
299,I highly recommend this hotel especially for couples.,0
300,"also, they are renovating the metro stop closest to the eiffel until next march, so walking is a nicer option.",0
301,Be sure to pick up an umbrella (for free) at the concierge if you anticipate rain while sightseeing.,0
302,Dont expect ANYTHING to be included.,0
303,"the metro stop is close at hand as well, handy for visiting all the spots.",0
304,Made an excellent recommendation or dinner-Tommys...you have to eat there,0
305,This makes me not want to recommend this hotel.,0
306,"also, if you arrive in amsterdam by car, be prepared to spend an arm",0
307,"The roof top pool, ok is on the small side but the beach is only 5 minutes walk away if you need more water",0
308,would highly recommend hotel nadia and would definately stay again if visiting amsterdam in the future.,0
309,but eventually they need updating.,1
310,"Another comfortable chair in the room, there's one, would be a plus We only ate one breakfast here because we slept in, but its a bit expensive.",1
311,"So do not trust the staff, and be prepared for them to try and cause problems.",1
312,The only seating times available are 6pm or 8pm but if you show up after 9:30pm at any of the restaurants they will just seat you.,0
313,"The front desk staff could use a good lesson in manners, professionalism and genuine hospitality.",1
314,"So if you are checking in and they allocate room 1238, make sure you have your own mirror.",1
315,"the property is an easy walk to passeig de gracia, la ramblas, and even the beach is not a difficult hike.",0
316,"take the advice of having breakfast at the hotel to the left... much better, a quarter of the price and a nice atmosphere.",0
317,Boston itself is a really easy city to walk around and I would highy recommend it for a short break.,0
318,i am avoiding all ritz carltons for the next century and suggest you stay away from this monstrosity in barcelona.,0
319,"Yay After 2 hours of treatment with the floor manager Matthew Sims If you ever have to deal with this man, go over it.",1
320,"Also the hotel would recommend the waffles, chocolate and water freebies and offers tea and coffee making facilities to forget.",1
321,they should simply put whirlpool jets in it and accept the fact that it is nothing more than a big bathtub.,1
322,A must if you have an unlimited expense account since the rooms are very expensive but certainly worthwhile,0
323,"You can also use the star ferry, pennies, on the Kowloon side which will drop you island side adjacent to harbour city mall which is a good spot to take the classic harbour panoramic photo.",0
324,This is not a hotel I can recommend for any type of group.,0
325,you have got to try this place when in amsterdam!,0
326,DON'T EXPECT ANYTHING AND YOU WON'T BE DISAPPOINTED!!!!,0
327,"Bigger rooms , bar at ground floor, bigger reception, but then it wouldnt be the hotel that it is .",1
328,"yes they are if you want to drink cheap cava, cheap white wine and cheap red wine.",0
329,"Our first room had a small kitchenette, the second not - here, a microwave and a small refrigerator would have been welcome.",1
330,If you are a drinker you will feel like you died and went to heaven; one can drink the day away with many choices and the $76.00 will feel like a bargain.,0
331,i would stay there again but would make sure i was on the top floor.,0
332,"but there are many other hotels nearby, and if you make your reservation well in advance (which we didn't do),",0
333,"Beware - if you pay the breakfast buffet was very bad value, Ok for cereals and fruit, poor quality breakfast.",1
334,Ill recommend it to everyone heading to the City.,0
335,If you go to this hotel don`t book a standard room.,0
336,"If youre looking for a reasonably priced nice hotel steps away from the beach, I would recommend staying at the Waikiki Parc.",0
337,"Drinks: Unless you like really sweet drinks, you might want to consider bringing your own mixers..",0
338,"I am happy to do so, but a working mini bar would have been better.",1
339,the lobby could use a little work.,1
340,I most warn everybody to avoid this hotel.,0
341,Id suggest staying at this hotel but requesting a room that faces the main street and/or stay on the top floor.,0
342,"but for a luxury hotel 5 star, it would be good if they would leave a bottle of water every day.",1
343,Tip: pay in cash and have a Rick Steves book to get discounts.,0
344,"So if you store and allocate rooms 1238, make sure you have your own mirror.",1
345,"Walking to the shops, you may want to mentally prepare yourself for the abuse you will take from the local shop owners,aka vultures, that will swoop down upon you to practically drag you into their shops.",0
346,"With the highest breakfast prices we've ever seen, it would have been nice to have in-room beverage stations/coffee makers like one usually finds in Westins.",1
347,"I can recommend a Turkish restaurant in Wilton Road called Mezze ,but book in advance if you want to have dinner there as its quite busy,.",0
348,and any other business owner agree that some action must be taken by the owner of this hotel for its guests.,1
349,"If you go to Salem, take the Trolley Tour.",0
350,give yourself plenty of time to see each as you will be suprised by the amount of time spent in each.,0
351,My recommendation: Save your money!,0
352,with everything being complimentary from the breakfast to the drinks we can not recommend this hotel highly enough.,0
353,Please note that there are steep stairs leading to the hotel would not be suitable for anyone with walking difficulties,1
354,but the bathroom was tired and in need of renovation.,1
355,"if you are looking for a great meal on the go at an inexpensive price, try a restaurant called brioche doree.",0
356,"if you are not spanish, then don't even think about staying here (unless you enjoy feeling like an unwelcome guest).",0
357,Room layout good - but would recommend some barrier to stop water from the shower getting the carpet wet,1
358,if you want to be hunkered down in a bubble - where no one bothers you and you don't care about the true parisien lifestyle - sure - stay here.,0
359,Please note that there are steep stairs leading to the hotel so would not be suitable for anyone with mobility problems,1
360,"The decor is very tasteful and fashionable, and will need a little work during the wallpaper here and there, as already mentioned, it's really no big deal.",1
361,but you may tell him to stop serving or your bill will surprise you.,0
362,If you get there in the morning you can easily have 300 yds of sand to yourself.,0
363,"this is a large, contemporary hotel, so if you are looking for quaint, typically spanish style, you might try elsewhere.",0
364,get your strip of tram tickets at a newsagent as pricey on the trams themselves.,0
365,"I was happy to get it, but a working minibar would have been preferable.",1
366,"that being said, do stay here, but make sure that if you do, as you look at the hotel from the front, only stay on the left hand side looking onto the city rather than the harbour,",0
367,if you are deciding on which hotel to stay at and are concerned about the size or layout of the hotel then you simply must realise that this is amsterdam,0
368,you shouldn't be in sydney to sit in your room and watch tv.,0
369,The room is big for HK standards and there is a small kitchenette if you need to heat up food in the microwave or cook a meal.,0
370,if you need to be directly across the street from union square and can't walk even one block (and why you would go to sf if that were the case) - go with the st.,0
371,"To get a cheap rate, look around online for the lowest rate, then call the motel directly.",0
372,if you have spare time go on the half day trip to the windmills of zaanse sans and then onto the cheese factory (don't buy the cheese - if you really want some its half price at airport) and then to fishing village of volendam.,0
373,Be careful not to wander in the attic late at night though as carpet is very humid.,1
374,Weve stayed in San Francisco before and I would recommend the Commodore Hotel or another Experience Rewards hotel in the SF area.,0
